prog_id,cache_references,cache_misses,miss_rate,wall_time_s,status
126,1494810375,9792888,0.006551,29.4432,ok
127,52828,6217,0.117684,0.0498,ok
128,10095,4971,0.492422,0.0446,ok
129,5588989,47587,0.008514,0.2244,ok
130,33035411,485664,0.014701,0.866,ok
131,543991,15725,0.028907,0.0804,ok
132,16736,6624,0.395793,0.0709,ok
133,1484779367,9562886,0.006441,28.1377,ok
134,49424995,289224,0.005852,1.6037,ok
135,10672811,21145,0.001981,0.4586,ok
136,16621,4534,0.272787,0.0418,ok
137,50514264,315281,0.006241,1.6087,ok
138,11124369,49294,0.004431,0.5099,ok
139,50983,4897,0.096052,0.0384,ok
140,516620,7649,0.014806,0.0844,ok
141,49136920,243699,0.00496,1.55,ok
142,50980,5472,0.107336,0.0749,ok
143,50978811,526810,0.010334,1.9564,ok
144,16313,7739,0.474407,0.0517,ok
145,3333665,28092,0.008427,0.1145,ok
146,50190360,342336,0.006821,1.6783,ok
147,11070,4113,0.371545,0.0252,ok
148,48449,5246,0.108279,0.0344,ok
149,437757,8435,0.019269,0.1253,ok
150,11112,4929,0.443575,0.0297,ok
151,33073407,700684,0.021186,0.7436,ok
152,1065847,6510,0.006108,0.0902,ok
153,17078,4556,0.266776,0.0896,ok
154,36708,6434,0.175275,0.0638,ok
155,1071493,7178,0.006699,0.1095,ok
156,52853936,544652,0.010305,1.8406,ok
157,52266918,371593,0.00711,1.7013,ok
158,504733,5201,0.010304,0.1246,ok
159,657397,7631,0.011608,0.1231,ok
160,10647447,25330,0.002379,0.4604,ok
161,13248,4473,0.337636,0.0246,ok
162,15350637,79032,0.005148,0.3874,ok
163,51371463,428532,0.008342,1.6848,ok
164,475201,6648,0.01399,0.0533,ok
165,16497,5536,0.335576,0.0735,ok
166,57807,4757,0.082291,0.0442,ok
167,33591604,284873,0.00848,0.6446,ok
168,59202,5644,0.095335,0.0661,ok
169,15180,4967,0.327207,0.0781,ok
170,51439360,402718,0.007829,1.8992,ok
171,43545,5162,0.118544,0.0361,ok
172,17377,4578,0.263452,0.0308,ok
173,33267067,280708,0.008438,0.6853,ok
174,3310633,33073,0.00999,0.097,ok
175,15166081,59439,0.003919,0.302,ok
176,52392157,452521,0.008637,1.6179,ok
177,14848,4737,0.319033,0.0296,ok
178,15163125,53104,0.003502,0.2922,ok
179,5182762,68060,0.013132,0.2466,ok
180,145803290,1215357,0.008336,3.137,ok
181,423429,15133,0.035739,0.2312,ok
182,499769,9043,0.018094,0.1257,ok
183,14635546,108489,0.007413,0.3307,ok
184,116168,5114,0.044022,0.0557,ok
185,1088530,13028,0.011968,0.1222,ok
186,10908,5715,0.523927,0.0811,ok
187,14750903,127512,0.008644,0.3847,ok
188,57704696,697217,0.012083,1.7434,ok
189,5152337,65364,0.012686,0.1914,ok
190,33163014,370115,0.01116,0.7388,ok
191,51379416,690861,0.013446,1.9752,ok
192,33354723,539647,0.016179,0.7815,ok
193,3312353,42201,0.01274,0.1696,ok
